Navn; calories; proteins; carbs; fat; type;
typer: frugt og grønt=fg, fjerkræ, kød, fisk, snack, drikke, krydderi, nød, bær, korn, brød og mejeri=bm

Peber, chili, konserves;26;0.9;4.9;0.1;fg
Sesamfrø, afskallede;643;26.8;1.8;57.4;korn
Jordbærsaft, sur, koncentreret;35;0.5;7;0.5;drikke
Hindbærsaft, sur, koncentreret;35;0.5;7;0.5;drikke
Kulmule, rå;69;16.3;0;0.4;fisk
Flødeskumskage, jordbærkage;216;2.9;32.3;8.2;snack
Dressing, mayonnaise, kalorielet;179;0.9;13.6;13.4;krydderi
Likør, Curacao;297;0;26.9;0;drikke
Salat, Iceberg, rå;16;0.8;2.4;0.1;fg
Havregryn, ikke beriget;366;14.2;57;6.7;korn
Ribssaft, sur, koncentreret;39;0.5;8;0.5;drikke
Jordbær, dybfrost, sukrede;84;0.5;19;0.2;fg
Fløde 13 %;151;2.8;4;13.5;bm
Ananas, rå;55;0.5;10.8;0.4;fg
Salami;509;13.9;2.8;49.2;kød
Ræddike, rå;22;1;3.9;0.1;fg
Cantaloupe (melon), rå;36;0.8;7.9;0.2;fg
Rødbede, konserves, uden tilsat sukker;29;0.9;9.9;0.1;fg
Kødboller, konserves;126;7.1;2.9;9.6;kød
Blæksprutte, rå;77;16.4;1.5;0.9;fisk
Peberrod, rå;104;7.7;11;0.7;fg
Jordbær i sukkerlage, konserves;81;0.4;20.1;0.4;fg
Grisekød i karrysovs, dybfrost;119;8.5;2;8.6;kød
Solbærsaft, sur, koncentreret;51;0.5;11;0.5;drikke
Vinbjergssnegle, rå;84;16;2;1;snack
Gulerod, dybfrost;30;1.1;4.7;0.2;fg
Peberfrugt, konserves;19;0.8;2.7;0.3;fg
Tørkage, kokosmakroner;476;6.9;48.7;28.2;snack
Ispind, vanille;186;4;20;10;snack
Nougat is;198;4;22.9;10;snack
Vanilleis;198;4;22.9;10;snack
Vindrue, grønne, rå;68;0.6;15.9;0;fg
Papaya, mamaja, træmelon, rå;47;0.7;9.4;0.3;fg
Sødmælkspulver;493;23.4;37;26;bm
Pizza romana, dybfrost;177;7.2;23.1;5.8;snack
Kirsebærsaft, sur, koncentreret;59;0.5;13;0.5;drikke
Tyttebær, syltede;156;0.2;37;0.2;bær
Pecannød, tørret;721;10.8;2.6;72;nød
Hytteost, 20+;105;13;2.5;4.4;bm
Reje, dybvands-, kogt, dybfrost;69;15.3;0;0.8;fisk
Kålrabi (kålroe), rå;34;1;4.2;0.1;fg
Gulerod, juice, konserves;41;0.9;8.5;0.1;drikke
Abrikos, rå;40;1.3;7.3;0.3;fg
Torsk, rogn, konserves;99;13.7;2.7;3.7;fisk
Valle;27;0.8;5.2;0.4;bm
Reje, dybvands-, konserves;79;16.5;0.8;1.2;fisk
Blåbær, frosne, usukrede;53;0.4;10.7;0.6;bær
Hybensaft, sød, koncentreret;231;0;0;0;drikke
Daddel, tørret;309;2;63.8;0.5;fg
Bouillon, oksekød, terning, spiseklar;7;1.1;0.1;0.2;krydderi
Is, tre-farvet;198;4;22.9;10;snack
Te, blade;233;19.6;3;2;drikke
Rabarber, dybfrost;26;0.9;1.9;0.3;fg
Drueagurk (sylteagurk), rå;17;1.2;2.1;0.1;fg
Rødtunge, rå;72;16.3;0;0.7;fisk
Asier, syltede;73;0.5;16.5;0.5;fg
Julesalat, rå;19;1.1;1.5;0.2;fg
Mango, rå;67;0.5;14.2;0.5;fg
Ising, rå;75;16.6;0;1;snack
Nyre, kalv, rå;95;16.4;0.2;1.6;kød
Torsk, filet, paneret, rå;115;13.7;12.9;0.8;fisk
Sortmund, blåhvilling, filet, rå;77;17.5;0;0.8;fisk
Lever, gris, i flødesovs, dybfrost;124;11.9;6.9;5.4;kød
Tørkage, uspec.;450;6.6;53.7;21.3;snack
